expression	source_image	source_page	column	ocr_confidence	waller_seed_match	review_status
Tシャツ	IMG_2697.HEIC	120	1	1.00	no	needs_review
~しゅうかん	IMG_2698.HEIC	123	4	0.30	no	needs_review
~じゅう［中］	IMG_2698.HEIC	123	4	0.30	yes	needs_review
あいだ	IMG_2697.HEIC	120	1	0.30	no	needs_review
あう［会う］	IMG_2697.HEIC	120	1	0.30	yes	needs_review
あおい	IMG_2697.HEIC	120	1	0.50	yes	needs_review
あかい	IMG_2697.HEIC	120	1	0.30	yes	needs_review
あかちゃん	IMG_2697.HEIC	120	1	1.00	no	needs_review
あかるい	IMG_2697.HEIC	120	1	0.50	yes	needs_review
あがります	IMG_2697.HEIC	120	1	0.50	no	needs_review
あき	IMG_2697.HEIC	120	1	0.30	yes	needs_review
あけます	IMG_2697.HEIC	120	1	1.00	yes	needs_review
あさ	IMG_2697.HEIC	120	1	0.30	yes	needs_review
あさごはん	IMG_2697.HEIC	120	1	1.00	yes	needs_review
あさって	IMG_2697.HEIC	120	1	0.30	yes	needs_review
あし	IMG_2697.HEIC	120	1	0.30	yes	needs_review
あした	IMG_2697.HEIC	120	1	0.50	yes	needs_review
あそこ	IMG_2697.HEIC	120	1	0.30	yes	needs_review
あそびます	IMG_2697.HEIC	120	1	1.00	yes	needs_review
あたたかい［暖かい］	IMG_2697.HEIC	120	1	0.50	yes	needs_review
あたま	IMG_2697.HEIC	120	1	0.30	yes	needs_review
あたまがいし	IMG_2697.HEIC	120	1	0.30	no	needs_review
あたらしい	IMG_2697.HEIC	120	1	0.50	yes	needs_review
あちら	IMG_2697.HEIC	120	1	1.00	yes	needs_review
あっち	IMG_2697.HEIC	120	1	0.50	yes	needs_review
あつい［暑い］	IMG_2697.HEIC	120	1	0.30	yes	needs_review
あと	IMG_2697.HEIC	120	1	0.30	yes	needs_review
あとで	IMG_2697.HEIC	120	1	1.00	yes	needs_review
あなた	IMG_2697.HEIC	120	1	1.00	yes	needs_review
あに	IMG_2697.HEIC	120	1	0.50	yes	needs_review
あね	IMG_2697.HEIC	120	1	1.00	yes	needs_review
あの	IMG_2697.HEIC	120	1	1.00	yes	needs_review
あのう	IMG_2697.HEIC	120	1	0.50	no	needs_review
あのかた	IMG_2697.HEIC	120	1	1.00	no	needs_review
あびます	IMG_2697.HEIC	120	2	1.00	yes	needs_review
あぶない	IMG_2697.HEIC	120	2	0.50	yes	needs_review
あぶら	IMG_2697.HEIC	120	2	0.30	no	needs_review
あまい	IMG_2697.HEIC	120	2	0.30	yes	needs_review
あまり～ない	IMG_2697.HEIC	120	2	0.30	no	needs_review
あめ	IMG_2697.HEIC	120	2	0.30	yes	needs_review
あらいます	IMG_2697.HEIC	120	2	1.00	yes	needs_review
あります	IMG_2697.HEIC	120	2	1.00	yes	needs_review
ある	IMG_2697.HEIC	120	2	0.30	yes	needs_review
あるきます	IMG_2697.HEIC	120	2	0.50	yes	needs_review
あれ	IMG_2697.HEIC	120	2	1.00	yes	needs_review
いいえ	IMG_2697.HEIC	120	2	1.00	yes	needs_review
いいですね	IMG_2697.HEIC	120	2	0.50	yes	needs_review
いいます	IMG_2697.HEIC	120	2	0.30	yes	needs_review
いえ［家］	IMG_2697.HEIC	120	2	0.30	yes	needs_review
いかがですか	IMG_2697.HEIC	120	2	1.00	yes	needs_review
いきます	IMG_2697.HEIC	120	2	0.30	yes	needs_review
いくつ	IMG_2697.HEIC	120	2	1.00	yes	needs_review
いけ	IMG_2697.HEIC	120	2	0.30	yes	needs_review
いしゃ	IMG_2697.HEIC	120	2	1.00	yes	needs_review
いす	IMG_2697.HEIC	120	2	0.30	yes	needs_review
いそがしい	IMG_2697.HEIC	120	2	1.00	yes	needs_review
いたい	IMG_2697.HEIC	120	2	1.00	yes	needs_review
いただきます	IMG_2697.HEIC	120	2	0.50	no	needs_review
いちにちじゅう	IMG_2697.HEIC	120	2	1.00	no	needs_review
いちばん	IMG_2697.HEIC	120	2	0.30	yes	needs_review
いっしょに	IMG_2697.HEIC	120	2	0.50	yes	needs_review
いつも	IMG_2697.HEIC	120	2	1.00	yes	needs_review
いぬ	IMG_2697.HEIC	120	2	0.30	yes	needs_review
いま	IMG_2697.HEIC	120	2	1.00	yes	needs_review
います	IMG_2697.HEIC	120	3	0.50	yes	needs_review
いもうと	IMG_2697.HEIC	120	3	1.00	yes	needs_review
いや	IMG_2697.HEIC	120	3	0.30	yes	needs_review
いらっしゃい	IMG_2697.HEIC	120	3	1.00	no	needs_review
いらっしゃいませ	IMG_2697.HEIC	120	3	1.00	no	needs_review
いりぐち	IMG_2697.HEIC	120	3	1.00	yes	needs_review
いります	IMG_2697.HEIC	120	3	0.30	yes	needs_review
いろ	IMG_2697.HEIC	120	3	0.50	yes	needs_review
うえ	IMG_2697.HEIC	120	3	0.30	yes	needs_review
うけつけ	IMG_2697.HEIC	120	3	1.00	no	needs_review
うけます	IMG_2697.HEIC	120	3	0.30	no	needs_review
うしろ	IMG_2697.HEIC	120	3	0.50	yes	needs_review
うすい	IMG_2697.HEIC	120	3	1.00	yes	needs_review
うた	IMG_2697.HEIC	120	3	0.30	yes	needs_review
うたいます	IMG_2697.HEIC	120	3	0.50	yes	needs_review
うち	IMG_2697.HEIC	120	3	0.30	no	needs_review
うどん	IMG_2697.HEIC	120	3	0.30	no	needs_review
うまれます	IMG_2697.HEIC	120	3	0.50	yes	needs_review
うみ	IMG_2697.HEIC	120	3	0.30	yes	needs_review
うれしい	IMG_2697.HEIC	120	3	1.00	no	needs_review
うれます	IMG_2697.HEIC	120	3	0.30	no	needs_review
おいしい	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おおい	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おおきい	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おおぜい	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おかあさん	IMG_2697.HEIC	121	4	1.00	yes	needs_review
おかし”	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おかね	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おきます［起きます］	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おくさん	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おくります	IMG_2697.HEIC	121	4	0.30	no	needs_review
おげんきで	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おこります［怒ります］	IMG_2697.HEIC	121	4	0.50	no	needs_review
おしえます	IMG_2697.HEIC	121	4	0.50	yes	needs_review
おします	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おじいさん	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おじさん	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おちゃ	IMG_2697.HEIC	121	4	0.50	yes	needs_review
おつり	IMG_2697.HEIC	121	4	0.50	no	needs_review
おてあらい	IMG_2697.HEIC	121	4	1.00	yes	needs_review
おと	IMG_2697.HEIC	121	4	0.50	no	needs_review
おとうさん	IMG_2697.HEIC	121	4	1.00	yes	needs_review
おとうと	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おとこ	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おとこのこ	IMG_2697.HEIC	121	4	1.00	yes	needs_review
おととい	IMG_2697.HEIC	121	4	0.50	yes	needs_review
おととし	IMG_2697.HEIC	121	4	1.00	yes	needs_review
おとな	IMG_2697.HEIC	121	4	1.00	yes	needs_review
おなか	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おにいさん	IMG_2697.HEIC	121	4	1.00	yes	needs_review
おにぎり	IMG_2697.HEIC	121	4	0.50	no	needs_review
おねえさん	IMG_2697.HEIC	121	4	1.00	yes	needs_review
おねがい（します）	IMG_2697.HEIC	121	4	0.30	no	needs_review
おはようございます	IMG_2697.HEIC	121	4	1.00	no	needs_review
おばあさん	IMG_2697.HEIC	121	4	1.00	yes	needs_review
おばさん	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おふろ	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おぼえます	IMG_2697.HEIC	121	4	0.50	yes	needs_review
おまわりさん	IMG_2697.HEIC	121	4	1.00	yes	needs_review
おもい	IMG_2697.HEIC	121	4	0.30	yes	needs_review
おもしろい	IMG_2697.HEIC	121	4	1.00	yes	needs_review
おやすみなさい	IMG_2697.HEIC	121	5	1.00	no	needs_review
おや［親］	IMG_2697.HEIC	121	5	0.30	no	needs_review
おゆ	IMG_2697.HEIC	121	5	0.30	no	needs_review
おります［降ります］	IMG_2697.HEIC	121	5	0.50	yes	needs_review
おわり	IMG_2697.HEIC	121	5	0.30	no	needs_review
おわります	IMG_2697.HEIC	121	5	1.00	yes	needs_review
おんがく	IMG_2697.HEIC	121	5	0.30	yes	needs_review
おんな	IMG_2697.HEIC	121	5	1.00	yes	needs_review
おんなのこ	IMG_2697.HEIC	121	5	0.50	yes	needs_review
お元気で	IMG_2697.HEIC	121	4	0.30	yes	needs_review
かいしゃ	IMG_2697.HEIC	121	5	0.50	yes	needs_review
かいしゃいん	IMG_2697.HEIC	121	5	1.00	no	needs_review
かいだん	IMG_2697.HEIC	121	5	0.30	yes	needs_review
かいもの（します）	IMG_2697.HEIC	121	5	0.50	yes	needs_review
かう	IMG_2697.HEIC	121	5	1.00	yes	needs_review
かお	IMG_2697.HEIC	121	5	0.30	no	needs_review
かかります	IMG_2697.HEIC	121	5	1.00	yes	needs_review
かぎ	IMG_2697.HEIC	121	5	0.30	yes	needs_review
かく	IMG_2697.HEIC	121	5	0.30	yes	needs_review
かけます［かぎを～］	IMG_2697.HEIC	121	5	0.30	yes	needs_review
かさ	IMG_2697.HEIC	121	5	0.30	yes	needs_review
かぜ［風］	IMG_2697.HEIC	121	5	0.30	yes	needs_review
かたかな	IMG_2697.HEIC	121	5	1.00	no	needs_review
かど	IMG_2697.HEIC	121	5	0.30	yes	needs_review
かなしい	IMG_2697.HEIC	121	5	1.00	no	needs_review
かのじょ	IMG_2697.HEIC	121	6	1.00	no	needs_review
かばん	IMG_2697.HEIC	121	6	1.00	yes	needs_review
かびん	IMG_2697.HEIC	121	6	1.00	yes	needs_review
かぶります	IMG_2697.HEIC	121	6	0.50	no	needs_review
かべ	IMG_2697.HEIC	121	6	0.30	no	needs_review
かみ［髪］	IMG_2697.HEIC	121	6	0.30	yes	needs_review
からい	IMG_2697.HEIC	121	6	0.30	yes	needs_review
からだ	IMG_2697.HEIC	121	6	1.00	yes	needs_review
かれ	IMG_2697.HEIC	121	6	0.30	yes	needs_review
かわ	IMG_2697.HEIC	121	6	0.30	yes	needs_review
かわいい	IMG_2697.HEIC	121	6	1.00	yes	needs_review
かん	IMG_2697.HEIC	120	3	1.00	no	needs_review
かんこく	IMG_2697.HEIC	121	6	1.00	no	needs_review
かんじ	IMG_2697.HEIC	121	6	0.30	yes	needs_review
がいこく	IMG_2697.HEIC	121	5	0.50	yes	needs_review
がいこくじん	IMG_2697.HEIC	121	5	0.50	yes	needs_review
がっこう	IMG_2697.HEIC	121	5	1.00	yes	needs_review
き	IMG_2697.HEIC	121	6	0.30	yes	needs_review
きえます	IMG_2697.HEIC	121	6	0.50	yes	needs_review
きこえます	IMG_2697.HEIC	121	6	1.00	no	needs_review
きた	IMG_2697.HEIC	121	6	0.30	yes	needs_review
きたない	IMG_2697.HEIC	121	6	1.00	yes	needs_review
きっさてん	IMG_2697.HEIC	121	6	1.00	yes	needs_review
きって	IMG_2697.HEIC	121	6	0.30	yes	needs_review
きのう	IMG_2697.HEIC	121	6	1.00	yes	needs_review
きぶん	IMG_2697.HEIC	121	6	1.00	no	needs_review
きます［着ます］	IMG_2697.HEIC	121	6	0.50	yes	needs_review
きれい（な）	IMG_2698.HEIC	122	1	0.50	yes	needs_review
ぎゅうにく	IMG_2697.HEIC	121	6	1.00	yes	needs_review
ぎんこう	IMG_2698.HEIC	122	1	0.50	yes	needs_review
くうこう	IMG_2698.HEIC	122	1	1.00	no	needs_review
くすり	IMG_2698.HEIC	122	1	1.00	yes	needs_review
くすりや	IMG_2698.HEIC	122	1	1.00	no	needs_review
ください	IMG_2698.HEIC	122	1	1.00	yes	needs_review
くだもの	IMG_2698.HEIC	122	1	1.00	yes	needs_review
くち	IMG_2698.HEIC	122	1	0.30	yes	needs_review
くつ	IMG_2698.HEIC	122	1	1.00	yes	needs_review
くつした	IMG_2698.HEIC	122	1	0.30	yes	needs_review
くに	IMG_2698.HEIC	122	1	0.30	yes	needs_review
くも	IMG_2698.HEIC	122	1	0.30	no	needs_review
くもり	IMG_2698.HEIC	122	1	1.00	yes	needs_review
くもります	IMG_2698.HEIC	122	1	1.00	yes	needs_review
くるま	IMG_2698.HEIC	122	1	0.30	yes	needs_review
くろい	IMG_2698.HEIC	122	1	0.30	yes	needs_review
けいさつ	IMG_2698.HEIC	122	1	0.30	no	needs_review
けいざい	IMG_2698.HEIC	122	1	0.30	no	needs_review
けいたいでんわ	IMG_2698.HEIC	122	1	0.50	no	needs_review
けさ	IMG_2698.HEIC	122	1	0.30	yes	needs_review
けしき	IMG_2698.HEIC	122	1	0.30	no	needs_review
けします	IMG_2698.HEIC	122	1	0.50	yes	needs_review
けしゴム	IMG_2698.HEIC	122	1	1.00	no	needs_review
けんきゅう（します）	IMG_2698.HEIC	122	1	0.50	no	needs_review
げんかん	IMG_2698.HEIC	122	1	0.50	yes	needs_review
げんき（な）	IMG_2698.HEIC	122	1	0.30	yes	needs_review
こうえん	IMG_2698.HEIC	122	1	0.50	yes	needs_review
こうくうびん	IMG_2698.HEIC	122	1	1.00	no	needs_review
こうこう	IMG_2698.HEIC	122	1	0.30	no	needs_review
こうさてん	IMG_2698.HEIC	122	1	1.00	yes	needs_review
こうじょう	IMG_2698.HEIC	122	1	1.00	no	needs_review
こうちゃ	IMG_2698.HEIC	122	2	0.50	yes	needs_review
こうぱん	IMG_2698.HEIC	122	2	0.50	no	needs_review
こえ	IMG_2698.HEIC	122	2	1.00	yes	needs_review
ここ	IMG_2698.HEIC	122	2	0.50	yes	needs_review
こち	IMG_2698.HEIC	122	2	1.00	no	needs_review
こちら	IMG_2698.HEIC	122	2	1.00	yes	needs_review
こちらこそ	IMG_2698.HEIC	122	2	1.00	yes	needs_review
ことし	IMG_2698.HEIC	122	2	1.00	yes	needs_review
ことば	IMG_2698.HEIC	122	2	0.50	yes	needs_review
こども	IMG_2698.HEIC	122	2	1.00	yes	needs_review
こどもたち	IMG_2698.HEIC	122	2	0.30	no	needs_review
この	IMG_2698.HEIC	122	2	1.00	yes	needs_review
このかた	IMG_2698.HEIC	122	2	1.00	no	needs_review
こみます	IMG_2698.HEIC	122	2	1.00	no	needs_review
ご	IMG_2698.HEIC	122	2	1.00	yes	needs_review
ごぜん	IMG_2698.HEIC	122	2	1.00	yes	needs_review
ごちそうさま	IMG_2698.HEIC	122	2	1.00	no	needs_review
ごみ	IMG_2698.HEIC	122	2	0.30	no	needs_review
ごめんください	IMG_2698.HEIC	122	2	0.30	no	needs_review
しめます［ネクタイを～］	IMG_2698.HEIC	123	4	0.30	yes	needs_review
しゃしん	IMG_2698.HEIC	123	4	1.00	yes	needs_review
しゃちょう	IMG_2698.HEIC	123	4	1.00	no	needs_review
しゅくだい	IMG_2698.HEIC	123	4	0.50	yes	needs_review
しょうがっこう	IMG_2698.HEIC	123	4	1.00	no	needs_review
しょうがつ	IMG_2698.HEIC	123	4	0.30	no	needs_review
しょうひん	IMG_2698.HEIC	123	4	1.00	no	needs_review
しょうゆ	IMG_2698.HEIC	123	4	0.50	yes	needs_review
しょくじ	IMG_2698.HEIC	123	4	0.50	no	needs_review
しょくどう	IMG_2698.HEIC	123	4	0.50	yes	needs_review
しょっき	IMG_2698.HEIC	123	4	0.50	no	needs_review
しろい	IMG_2698.HEIC	123	4	0.30	yes	needs_review
しんかんせん	IMG_2698.HEIC	123	4	0.50	no	needs_review
しんごう	IMG_2698.HEIC	123	4	0.30	no	needs_review
しんせつ（な）	IMG_2698.HEIC	123	4	0.30	no	needs_review
しんぶん	IMG_2698.HEIC	123	4	0.30	yes	needs_review
じゃ	IMG_2698.HEIC	123	4	0.30	yes	needs_review
じゅうしょ	IMG_2698.HEIC	123	4	1.00	no	needs_review
じゅうどう	IMG_2698.HEIC	123	4	1.00	no	needs_review
じゅぎょう	IMG_2698.HEIC	123	4	1.00	yes	needs_review
